AMIE,NOMBRE,PROVINCIA,CANTON,LAT,LON,MD,M,JE
09H05164,ESCUELA DE EDUCACIÓN BÁSICA CORINA PARRAL DE VELASCO IBARRA,GUAYAS,NOBOL,-1.91481359401,-80.0102033172,23346.080000000005,12224,0.0
09H05168,ESCUELA DE EDUCACION BASICA INDEPENDENCIA DEL ECUADOR,GUAYAS,NOBOL,-1.87989422055,-80.0381828294,5836.520000000001,3056,5748.0
09H05169,ESCUELA DE EDUCACION BASICA ADRIANA FUENTES,GUAYAS,NOBOL,-1.91791784167,-80.0128177431,11673.040000000003,6112,5748.0
09H05205,ESCUELA DE EDUCACION BASICA JACINTO FRANCISCO GONZALEZ HUACON,GUAYAS,ISIDRO AYORA,-1.9452941578,-80.1515469467,5836.520000000001,3056,0.0
09H05206,ESCUELA DE EDUCACION BASICA MARISCAL SUCRE,GUAYAS,ISIDRO AYORA,-1.88011154163,-80.142129895,17509.560000000005,9168,5748.0
09H05376,ESCUELA DE EDUCACION BASICA LCDA BLANCA NORIS ROSERO BERMEO,GUAYAS,MILAGRO,-2.1153563496,-79.5677260917,2918.2600000000007,1528,5748.0
09H05452,ESCUELA DE EDUCACION BASICA FISCAL 27 DE DICIEMBRE,GUAYAS,DURAN,-2.14830187269,-79.8254952709,5836.520000000001,3056,5748.0
09H05461,UNIDAD EDUCATIVA  FISCAL TRANSITO AMAGUAÑA,GUAYAS,GUAYAQUIL,-2.10747222444,-79.9734444463,17509.560000000005,9168,0.0
09H05478,ESCUELA DE EDUCACION BASICA FISCAL FERNANDO DAQUILEMA,GUAYAS,DURAN,-2.15243472543,-79.8152324143,5836.520000000001,3056,5748.0
09H05494,ESCUELA DE EDUCACION BASICA JOSE MARIA URBINA VITERI,GUAYAS,NARANJAL,-2.74105725189,-79.6992757117,5836.520000000001,3056,5748.0
09H05500,UNIDAD EDUCATIVA  DEL MILENIO DR ALFREDO RAUL VERA VERA,GUAYAS,GUAYAQUIL,-2.06716258261,-79.9096830531,20427.820000000003,10696,0.0
09H05605,UNIDAD EDUCATIVA FISCAL RIO MARAÑON,GUAYAS,GUAYAQUIL,-2.11447163945,-79.9754714213,11673.040000000003,6112,5748.0
09H05623,UNIDAD EDUCATIVA FISCAL VICTOR NARANJO FIALLO,GUAYAS,GUAYAQUIL,-2.51448846325,-79.8824619771,5836.520000000001,3056,0.0
09H05660,ESCUELA DE EDUCACION BASICA DIOS CON NOSOTROS,GUAYAS,DAULE,-1.95152942853,-79.9359377933,5836.520000000001,3056,5748.0
09H05712,UNIDAD EDUCATIVA  FISCAL JULIO ESTRADA ICAZA,GUAYAS,GUAYAQUIL,-2.12541330514,-79.9930231368,11673.040000000003,6112,0.0
09H05713,UNIDAD EDUCATIVA FISCAL AMERICA,GUAYAS,GUAYAQUIL,-2.12378363044,-80.0163678897,14591.300000000003,7640,5748.0
09H05745,UNIDAD EDUCATIVA  FISCAL ALEJANDRO JATIVA MARTINEZ,GUAYAS,GUAYAQUIL,-2.13109747766,-79.9610380791,23346.080000000005,12224,5748.0
09H05788,ESCUELA DE EDUCACION BASICA FISCAL VIOLETA MIRELLA ABAD FRANCO,GUAYAS,GUAYAQUIL,-2.15656800245,-79.917452998,5836.520000000001,3056,0.0
09H05803,ESCUELA DE EDUCACION BASICA FISCAL DOCE DE JULIO,GUAYAS,GUAYAQUIL,-2.58814261982,-79.9195539749,5836.520000000001,3056,0.0
09H05808,ESCUELA DE EDUCACION  BASICA FISCAL EDUARDO KINGMAN,GUAYAS,GUAYAQUIL,-2.11671517761,-80.0026707551,11673.040000000003,6112,5748.0
09H05885,UNIDAD EDUCATIVA FISCAL FABRIZIO BUCCO BOZZOLO,GUAYAS,DURAN,-2.1454809524,-79.8295246367,2918.2600000000007,1528,0.0
09H05941,ESCUELA DE EDUCACION BASICA ADOLFO ALVAREZ ESCOBAR,GUAYAS,MILAGRO,-2.12322268013,-79.5848180187,5836.520000000001,3056,5748.0
09H05979,ESCUELA DE EDUCACION BASICA MANUEL GENARO ANCHUNDIA,GUAYAS,EL EMPALME,-0.605407002143,-79.5589581913,5836.520000000001,3056,5748.0
09H05983,UNIDAD EDUCATIVA  FISCAL BERNARDITA CORREA DELGADO,GUAYAS,GUAYAQUIL,-2.09519447832,-79.987277795,11673.040000000003,6112,5748.0
09H06048,UNIDAD EDUCATIVA FISCAL  JUAN JAVIER ESPINOZA,GUAYAS,GUAYAQUIL,-2.11486108279,-79.9831666349,11673.040000000003,6112,5748.0
09H06049,ESCUELA DE EDUCACION BASICA FISCAL AGUSTIN GUERRERO LIZARZABURU,GUAYAS,GUAYAQUIL,-2.11488888412,-79.9883055715,11673.040000000003,6112,0.0
09H06050,ESCUELA DE EDUCACION BASICA FISCAL JOSE MARIA URBINA,GUAYAS,GUAYAQUIL,-2.10916639746,-79.9958827315,11673.040000000003,6112,0.0
09H06079,UNIDAD EDUCATIVA FISCAL  EMILIO ESTRADA CARMONA,GUAYAS,GUAYAQUIL,-2.1309722175,-80.0116388854,11673.040000000003,6112,5748.0
09H06118,UNIDAD EDUCATIVA FISCAL FISCAL JOSE MARTI,GUAYAS,GUAYAQUIL,-2.12315263004,-80.0070010857,2918.2600000000007,1528,0.0
09H06150,ESCUELA DE EDUCACION BASICA DOLORES VEINTIMILLA DE GALINDO,GUAYAS,DURAN,-2.15174897351,-79.8262427671,5836.520000000001,3056,0.0
09H06173,UNIDAD EDUCATIVA FISCAL REPLICA AGUIRRE ABAD,GUAYAS,GUAYAQUIL,-2.15405029189,-79.9299763833,5836.520000000001,3056,5748.0
09H06718,UNIDAD EDUCATIVA FISCAL JOSÉ JOAQUÍN DE OLMEDO,GUAYAS,GUAYAQUIL,-2.09990048945,-79.8934092374,23346.080000000005,12224,5748.0
10H00050,UNIDAD EDUCATIVA ANA LUISA LEORO,IMBABURA,IBARRA,0.353996288803,-78.1247646312,11673.040000000003,6112,0.0
10H00106,UNIDAD EDUCATIVA VICTOR MANUEL PEÑAHERRERA,IMBABURA,IBARRA,0.338210974869,-78.110721943,5836.520000000001,3056,0.0
10H00131,UNIDAD EDUCATIVA VICTOR MANUEL GUZMAN,IMBABURA,IBARRA,0.332117611118,-78.1112443032,14591.300000000003,7640,5748.0
10H00139,UNIDAD EDUCATIVA LUIS LEORO FRANCO,IMBABURA,IBARRA,0.339467328285,-78.1234397895,20427.820000000003,10696,5748.0
10H00159,UNIDAD EDUCATIVA VALLE DEL CHOTA,IMBABURA,IBARRA,0.473722421762,-78.060932397,11673.040000000003,6112,0.0
10H00163,UNIDAD EDUCATIVA CESAR BORJA,IMBABURA,IBARRA,0.42791663136,-78.009611098,5836.520000000001,3056,0.0
10H00177,UNIDAD EDUCATIVA ZULETA,IMBABURA,IBARRA,0.208026419901,-78.0928564364,5836.520000000001,3056,5748.0
10H00198,UNIDAD EDUCATIVA MARIANO ACOSTA,IMBABURA,IBARRA,0.295389221731,-78.1184436787,5836.520000000001,3056,0.0
10H00225,UNIDAD EDUCATIVA JOSE MIGUEL LEORO VASQUEZ,IMBABURA,IBARRA,0.329916671582,-78.1742499967,11673.040000000003,6112,0.0
10H00226,UNIDAD EDUCATIVA VICTOR MIDEROS ALMEIDA,IMBABURA,IBARRA,0.334195095065,-78.1703572417,17509.560000000005,9168,5748.0
10H00229,UNIDAD EDUCATIVA DANIEL REYES,IMBABURA,IBARRA,0.336417985781,-78.1703027477,14591.300000000003,7640,0.0
10H00249,UNIDAD EDUCATIVA ABELARDO MONCAYO,IMBABURA,ANTONIO ANTE,0.339482759588,-78.2062687435,14591.300000000003,7640,5748.0
10H00252,ESCUELA DE EDUCACION BASICA 2 DE MARZO,IMBABURA,ANTONIO ANTE,0.317476146355,-78.2307248419,14591.300000000003,7640,5748.0
10H00262,UNIDAD EDUCATIVA IMBAYA,IMBABURA,ANTONIO ANTE,0.366737008983,-78.1500262112,5836.520000000001,3056,0.0
10H00268,ESCUELA DE EDUCACION BASICA CARLOS MONTUFAR,IMBABURA,ANTONIO ANTE,0.325536410333,-78.1953577326,5836.520000000001,3056,0.0
10H00273,UNIDAD EDUCATIVA CHALTURA,IMBABURA,ANTONIO ANTE,0.352879630181,-78.1922979918,8754.780000000002,4584,5748.0
