ZONA;DISTRITO;PROVINCIA;CANTON;PARROQUIA;TIPO_EDUCACION;AMIE;LONGITUD;LATITUD;INSTITUCION;SOSTENIMIENTO;JURISDICCIÓN;RÉGIMEN;ZONA INEC;NIVEL DE EDUCACIÓN;Nro, de niños y niños de 3 y 4 años (AMIE 23-24);AUX_AÑO DE DOTACIÓN;AUX_T. IE;MD_AÑO DE DOTACIÓN;MD_PARALELOS;MD_MONTO USD$;M_AÑO DE DOTACIÓN;M_TIPO DE AMBIENTE;M_MONTO USD$;JE_AÑO DE DOTACIÓN;JE_CANTIDAD;JE_MONTO USD$;Aux_IE_Material
3;504;COTOPAXI;PUJILI;TINGO;Ordinario;500568;-791609541;-0.880416836;UNIDAD EDUCATIVA DIGNA MARIA BEATRIZ CERDA NETO;FISCAL;Intercultural;COSTA;Rural;Inicial/EGB/Bachillerato;31;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
3;506;COTOPAXI;SALCEDO;SAN MIGUEL;Ordinario;500621;-7858848699;-1044878564;UNIDAD EDUCATIVA FEDERICO GONZALEZ SUAREZ;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB;122;2027;1;2027;5;14591.30;2027;5;7640.00;;;-;ML_Mo
3;506;COTOPAXI;SALCEDO;ANTONIO JOSE HOLGUIN (SANTA LUCIA);Ordinario;500632;-7860414632;-1098949032;UNIDAD EDUCATIVA IGNACIO FLORES;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;43;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
3;506;COTOPAXI;SALCEDO;CUSUBAMBA;Ordinario;500640;-7869991248;-1069970446;UNIDAD EDUCATIVA CUSUBAMBA;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;30;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
3;506;COTOPAXI;SALCEDO;MULALILLO;Ordinario;500648;-7862107945;-1092861041;UNIDAD EDUCATIVA LUIS A MARTINEZ;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;63;2027;1;2027;3;8754.78;2027;3;4584.00;;;-;ML_Mo
3;506;COTOPAXI;SALCEDO;MULLIQUINDIL (SANTA ANA);Ordinario;500658;-7856463966;-1033058258;UNIDAD EDUCATIVA EMILIO TERAN;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;38;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;506;COTOPAXI;SALCEDO;PANSALEO;Ordinario;500665;-7857972515;-1092059444;UNIDAD EDUCATIVA NÃ‰STOR MOGOLLÃ“N;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;17;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;506;COTOPAXI;SALCEDO;PANSALEO;Ordinario;500667;-7859944807;-1066584562;UNIDAD EDUCATIVA JOSE MEJÃA LEQUERICA;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB;23;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;504;COTOPAXI;SAQUISILI;SAQUISILI;Ordinario;500674;-7866993726;-0.839350937;ESCUELA DE EDUCACION BASICA REPUBLICA DE COLOMBIA;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB;94;2027;1;2027;4;11673.04;2027;4;6112.00;2027;1;5748.00;ML_Mo_JE
3;505;COTOPAXI;SIGCHOS;SIGCHOS;Ordinario;500716;-7888567333;-0.698724017;UNIDAD EDUCATIVA DEL MILENIO SIGCHOS;FISCAL;Intercultural;SIERRA;Urbana;Inicial/EGB/Bachillerato;62;2027;1;2027;3;8754.78;2027;3;4584.00;;;-;ML_Mo
3;505;COTOPAXI;SIGCHOS;CHUGCHILLAN;Ordinario;500772;-7892279016;-0.80062727;UNIDAD EDUCATIVA JUAN JOSÃ‰ FLORES;FISCAL;Intercultural;SIERRA;Rural;Inicial/EGB/Bachillerato;15;2027;1;2027;2;5836.52;2027;2;3056.00;2027;1;5748.00;ML_Mo_JE
3;505;COTOPAXI;SIGCHOS;PALO QUEMADO;Ordinario;500803;-789233517;-0.374672742;UNIDAD EDUCATIVA JUAN SALINAS;FISCAL;Intercultural;COSTA;Rural;Inicial/EGB/Bachillerato;11;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
3;505;COTOPAXI;SIGCHOS;LAS PAMPAS;Ordinario;500838;-7912948772;-0.546616577;UNIDAD EDUCATIVA JORGE WASHINGTON;FISCAL;Intercultural;COSTA;Rural;Inicial/EGB/Bachillerato;18;2027;1;2027;2;5836.52;2027;2;3056.00;;;-;ML_Mo
